ID venda,Data,Canal,Tipo_pagamento,Estado,Cidade,Produto,Quantidade,Valor_Unitario,Custo_Unitario,Categoria_Produto,ID_Parceiro,ID_Cliente,Genero_Cliente,Data_Nascimento_Cliente,Feedback_Cliente,Status_Entrega,Cupom_Utilizado,Flag_Primeira_Compra
VND00001,2026-06-23 13:10:48,VD,outros meios de pagamento,AM,Manaus,Lily Lumière Eau de Parfum 75ml,4,329.9,145.0,Perfumaria Feminina,REV0035,,,,,,,
VND00002,2024-12-19 19:18:43,Ecomm multi,mooz pix,SP,São Paulo,Malbec Desodorante Colônia 100ml,1,,84.0,Perfumaria Masculina,,CLI0307,Feminino,1970-03-03,A entrega atrasou muito.,Entregue no Prazo,,Sim
VND00003,2024-05-12 08:45:14,Ecomm mono,mooz cartões,PR,Guarapuava,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0380,Masculino,1969-11-16,,Entregue no Prazo,,Não
VND00003,2024-05-12 08:45:14,Ecomm mono,mooz cartões,PR,Guarapuava,Botik Sérum Alta Potência Ácido Hialurônico 30ml,1,169.9,59.0,Maquiagem e Skincare,,CLI0380,Masculino,1969-11-16,,Entregue no Prazo,,Não
VND00004,2024-11-28 20:39:29,Ecomm mono,mooz cartões,SP,Mauá,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,,CLI0055,Feminino,1975-04-03,,Entregue no Prazo,,Sim
VND00005,2024-06-21 13:40:07,lojas,mooz pix,MG,Montes Claros,Lily Creme Acetinado Hidratante Corporal 250g,2,149.9,45.0,Perfumaria Feminina,FRQ024,,,,,,,
VND00005,2024-06-21 13:40:07,lojas,mooz pix,MG,Montes Claros,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,FRQ024,,,,,,,
VND00006,2024-03-18 12:49:40,Ecomm multi,mooz pix,SP,Bauru,Lily Creme Acetinado Hidratante Corporal 250g,3,149.9,45.0,Perfumaria Feminina,,CLI0289,Não-binário,1984-11-26,,Entregue no Prazo,,Não
VND00006,2024-03-18 12:49:40,Ecomm multi,mooz pix,SP,Bauru,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,,CLI0289,Não-binário,1984-11-26,,Entregue no Prazo,,Não
VND00007,2025-08-28 12:32:04,Ecomm mono,mooz pix,MG,Ipatinga,Malbec Desodorante Colônia 100ml,4,209.9,84.0,Perfumaria Masculina,,CLI0020,Masculino,1970-06-12,Amei o cheiro!,Entregue no Prazo,BOTAO20,Sim
VND00008,2024-11-25 19:32:09,VD,mooz pix,SP,Campinas,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,REV0044,,,,,,,
VND00008,2024-11-25 19:32:09,VD,mooz pix,SP,Campinas,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,REV0044,,,,,,,
VND00009,2025-09-16 22:23:58,Ecomm mono,mooz pix,BA,Porto Seguro,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,,CLI0397,Feminino,1965-12-17,,Entregue no Prazo,BOTAO20,Sim
VND00009,2025-09-16 22:23:58,Ecomm mono,mooz pix,BA,Porto Seguro,Floratta Red Desodorante Colônia 75ml,3,229.9,92.0,Perfumaria Feminina,,CLI0397,Feminino,1965-12-17,,Entregue no Prazo,BOTAO20,Sim
VND00010,2024-12-07 13:42:09,Ecomm mono,mooz pix,SP,Jundiaí,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,,CLI0358,Feminino,1977-03-05,,Entregue no Prazo,,Não
VND00011,2025-06-23 15:42:27,Ecomm mono,mooz cartões,SP,Sorocaba,Lily Creme Acetinado Hidratante Corporal 250g,2,149.9,45.0,Perfumaria Feminina,,CLI0159,Não-binário,2000-04-09,,Entregue no Prazo,,Não
VND00012,2025-11-08 19:49:39,lojas,outros meios de pagamento,MG,Uberaba,Malbec Desodorante Colônia 100ml,2,209.9,84.0,Perfumaria Masculina,FRQ005,,,,,,,
VND00013,2025-04-04 22:15:19,Ecomm multi,mooz cartões,SC,Blumenau,Make B. Base Líquida Mate Salicylic 30g,4,109.9,38.0,Maquiagem e Skincare,,CLI0348,Feminino,2004-06-07,,Entregue no Prazo,,Não
VND00014,2026-04-16 19:38:08,Ecomm mono,mooz cartões,MS,Dourados,Malbec Desodorante Colônia 100ml,3,209.9,84.0,Perfumaria Masculina,,CLI0191,Não-binário,1985-12-07,,Entregue no Prazo,,Sim
VND00014,2026-04-16 19:38:08,Ecomm mono,mooz cartões,MS,Dourados,Lily Lumière Eau de Parfum 75ml,4,329.9,145.0,Perfumaria Feminina,,CLI0191,Não-binário,1985-12-07,,Entregue no Prazo,,Sim
VND00015,2026-06-24 13:01:26,VD,mooz pix,SP,Santo André,Cuide-se Bem Loção Corporal Deleite 200ml,1,78.9,24.0,Cuidados e Corpo,REV0048,,,,,,,
VND00016,2025-10-27 13:09:08,VD,mooz pix,SP,São Carlos,Lily Lumière Eau de Parfum 75ml,4,329.9,145.0,Perfumaria Feminina,REV0061,,,,,,,
VND00016,2025-10-27 13:09:08,VD,mooz pix,SP,São Carlos,Malbec Desodorante Colônia 100ml,500,209.9,84.0,Perfumaria Masculina,REV0061,,,,,,,
VND00017,2024-08-31 20:03:15,Ecomm multi,mooz pix,SP,Campinas,Cuide-se Bem Loção Corporal Deleite 200ml,2,78.9,24.0,Cuidados e Corpo,,CLI0057,Feminino,1997-04-01,,Entregue no Prazo,BOTAO20,Não
VND00017,2024-08-31 20:03:15,Ecomm multi,mooz pix,SP,Campinas,Malbec Desodorante Colônia 100ml,2000,209.9,84.0,Perfumaria Masculina,,CLI0057,Feminino,1997-04-01,,Entregue no Prazo,BOTAO20,Não
