Ano,Mês,Estado,Meta_Faturamento_Mensal
2024,1,SP,8147.06
2024,1,RJ,1660.09
2024,1,MG,4188.08
2024,1,ES,859.33
2024,1,PR,2094.67
2024,1,RS,737.82
2024,1,SC,375.08
2024,1,BA,1227.9
2024,1,PE,154.77
2024,1,CE,1996.25
2024,1,MA,277.28
2024,1,GO,311.71
2024,1,MT,191.8
2024,1,MS,246.16
2024,1,DF,244.81
2024,1,AM,392.49
2024,1,PA,127.62
2024,1,PB,308.29
2024,1,RN,1095.62
2024,1,AL,152.93
2024,1,SE,157.88
2024,1,PI,909.23
2024,1,RO,345.56
2024,1,TO,339.09
2024,1,AC,282.33
2024,1,AP,121.64
2024,1,RR,162.15
2024,2,SP,6220.24
2024,2,RJ,1671.24
2024,2,MG,2666.08
2024,2,ES,2840.95
2024,2,PR,2726.67
2024,2,RS,1008.64
2024,2,SC,922.46
2024,2,BA,513.9
2024,2,PE,142.37
2024,2,CE,234.32
2024,2,MA,133.81
2024,2,GO,715.54
2024,2,MT,189.8
2024,2,MS,160.61
2024,2,DF,296.62
2024,2,AM,398.9
2024,2,PA,177.58
2024,2,PB,388.6
2024,2,RN,144.71
2024,2,AL,171.19
2024,2,SE,169.87
2024,2,PI,247.85
2024,2,RO,176.18
2024,2,TO,204.15
2024,2,AC,356.21
2024,2,AP,107.63
2024,2,RR,161.16
2024,3,SP,11611.14
2024,3,RJ,4521.55
2024,3,MG,8112.08
2024,3,ES,1016.17
2024,3,PR,6550.3
2024,3,RS,2351.55
2024,3,SC,3085.29
2024,3,BA,274.96
2024,3,PE,488.44
2024,3,CE,774.67
2024,3,MA,348.62
2024,3,GO,863.74
2024,3,MT,310.26
2024,3,MS,740.91
2024,3,DF,1352.22
2024,3,AM,228.25
2024,3,PA,248.4
2024,3,PB,101.28
2024,3,RN,239.96
2024,3,AL,251.93
2024,3,SE,144.48
2024,3,PI,116.12
2024,3,RO,235.79
2024,3,TO,248.91
2024,3,AC,277.58
2024,3,AP,258.32
2024,3,RR,214.24
2024,4,SP,9078.17
2024,4,RJ,1973.04
2024,4,MG,14028.96
2024,4,ES,1749.33
2024,4,PR,2042.56
2024,4,RS,1259.4
2024,4,SC,3742.15
2024,4,BA,831.47
2024,4,PE,185.11
2024,4,CE,178.58
2024,4,MA,573.76
2024,4,GO,1598.71
2024,4,MT,157.15
2024,4,MS,233.86
2024,4,DF,268.25
2024,4,AM,409.45
2024,4,PA,147.2
2024,4,PB,603.03
2024,4,RN,247.56
2024,4,AL,142.77
2024,4,SE,705.03
2024,4,PI,106.2
2024,4,RO,161.13
2024,4,TO,249.46
2024,4,AC,224.02
2024,4,AP,1098.95
2024,4,RR,233.66
2024,5,SP,32767.22
2024,5,RJ,5776.03
2024,5,MG,14749.15
2024,5,ES,228.74
2024,5,PR,7636.69
2024,5,RS,4284.91
2024,5,SC,4766.77
2024,5,BA,1570.76
2024,5,PE,1021.78
2024,5,CE,2699.0
2024,5,MA,551.7
2024,5,GO,1034.43
2024,5,MT,1096.32
2024,5,MS,1071.52
2024,5,DF,1215.11
2024,5,AM,1190.33
2024,5,PA,827.64
2024,5,PB,158.7
2024,5,RN,322.41
2024,5,AL,170.88
2024,5,SE,1319.23
2024,5,PI,223.44
2024,5,RO,827.08
2024,5,TO,304.01
2024,5,AC,173.3
2024,5,AP,168.08
2024,5,RR,320.81
2024,6,SP,16769.19
2024,6,RJ,5008.2
2024,6,MG,14570.38
2024,6,ES,872.23
2024,6,PR,4321.57
2024,6,RS,2669.09
2024,6,SC,6599.55
2024,6,BA,2684.57
2024,6,PE,2027.91
2024,6,CE,364.62
2024,6,MA,804.75
2024,6,GO,1478.75
2024,6,MT,2054.96
2024,6,MS,858.2
2024,6,DF,2064.45
2024,6,AM,159.98
2024,6,PA,236.6
2024,6,PB,211.69
2024,6,RN,429.43
2024,6,AL,1292.61
2024,6,SE,864.32
2024,6,PI,135.76
2024,6,RO,248.49
2024,6,TO,124.81
2024,6,AC,234.65
2024,6,AP,605.93
2024,6,RR,254.21
2024,7,SP,10977.81
2024,7,RJ,2810.12
2024,7,MG,6750.2
2024,7,ES,631.17
2024,7,PR,3623.87
2024,7,RS,286.91
2024,7,SC,691.85
2024,7,BA,5352.35
2024,7,PE,396.48
2024,7,CE,2315.09
2024,7,MA,174.7
2024,7,GO,178.24
2024,7,MT,166.81
2024,7,MS,230.58
2024,7,DF,201.04
2024,7,AM,112.62
2024,7,PA,295.23
2024,7,PB,263.19
2024,7,RN,250.51
2024,7,AL,164.6
2024,7,SE,204.98
2024,7,PI,172.88
2024,7,RO,143.17
2024,7,TO,183.26
2024,7,AC,115.68
2024,7,AP,108.03
2024,7,RR,145.56
2024,8,SP,18574.1
2024,8,RJ,6530.11
2024,8,MG,10301.8
2024,8,ES,263.0
2024,8,PR,839.6
2024,8,RS,5795.74
2024,8,SC,1592.62
2024,8,BA,1782.86
2024,8,PE,526.0
2024,8,CE,302.55
2024,8,MA,1454.41
2024,8,GO,187.87
2024,8,MT,115.28
2024,8,MS,286.21
2024,8,DF,272.53
2024,8,AM,938.22
2024,8,PA,905.64
2024,8,PB,683.66
2024,8,RN,236.37
2024,8,AL,184.73
2024,8,SE,193.29
2024,8,PI,659.36
2024,8,RO,273.63
2024,8,TO,120.91
2024,8,AC,2065.77
2024,8,AP,274.28
2024,8,RR,168.21
2024,9,SP,5224.72
2024,9,RJ,2564.9
2024,9,MG,439.6
2024,9,ES,212.48
2024,9,PR,2291.6
2024,9,RS,370.65
2024,9,SC,3730.31
2024,9,BA,1850.19
2024,9,PE,3532.0
2024,9,CE,659.8
2024,9,MA,270.42
2024,9,GO,193.24
2024,9,MT,170.22
2024,9,MS,202.75
2024,9,DF,2179.93
2024,9,AM,825.74
2024,9,PA,127.59
2024,9,PB,178.11
2024,9,RN,566.81
2024,9,AL,279.25
2024,9,SE,138.79
2024,9,PI,144.24
2024,9,RO,147.59
2024,9,TO,227.19
2024,9,AC,1637.11
2024,9,AP,252.04
2024,9,RR,309.49
2024,10,SP,16080.26
2024,10,RJ,6359.32
2024,10,MG,1374.76
2024,10,ES,1241.0
2024,10,PR,1731.57
2024,10,RS,2360.55
2024,10,SC,7368.77
2024,10,BA,2056.19
2024,10,PE,3038.98
2024,10,CE,820.62
2024,10,MA,252.8
2024,10,GO,618.95
2024,10,MT,280.33
2024,10,MS,301.21
2024,10,DF,982.63
2024,10,AM,336.35
2024,10,PA,175.22
2024,10,PB,201.28
2024,10,RN,271.62
2024,10,AL,1264.88
2024,10,SE,194.11
2024,10,PI,303.97
2024,10,RO,316.15
2024,10,TO,545.99
2024,10,AC,222.97
2024,10,AP,145.46
2024,10,RR,231.85
2024,11,SP,37848.88
2024,11,RJ,8584.78
2024,11,MG,15166.72
2024,11,ES,1887.96
2024,11,PR,6761.33
2024,11,RS,4682.78
2024,11,SC,7478.77
2024,11,BA,3008.11
2024,11,PE,1032.78
2024,11,CE,2346.25
2024,11,MA,267.28
2024,11,GO,3175.7
2024,11,MT,196.62
2024,11,MS,216.85
2024,11,DF,237.29
2024,11,AM,234.17
2024,11,PA,633.45
2024,11,PB,291.93
2024,11,RN,251.92
2024,11,AL,782.7
2024,11,SE,804.54
2024,11,PI,278.76
2024,11,RO,279.12
2024,11,TO,317.96
2024,11,AC,476.35
2024,11,AP,178.29
2024,11,RR,334.85
2024,12,SP,39212.08
2024,12,RJ,8501.04
2024,12,MG,13676.56
2024,12,ES,6022.08
2024,12,PR,11644.43
2024,12,RS,2617.09
2024,12,SC,1500.62
2024,12,BA,3272.95
2024,12,PE,3379.44
2024,12,CE,3649.03
2024,12,MA,1775.95
2024,12,GO,207.69
2024,12,MT,314.68
2024,12,MS,307.11
2024,12,DF,2311.91
2024,12,AM,687.62
2024,12,PA,2470.79
2024,12,PB,1097.44
2024,12,RN,274.97
2024,12,AL,798.73
2024,12,SE,970.43
2024,12,PI,227.72
2024,12,RO,242.71
2024,12,TO,608.85
